"ORACLEDUMP	|SETID	TREE_NODE	UBC_TABLE_NUM	EFFDT	UBC_ROLL_UP	UBC_PRES	UBC_CAMPUS	UBC_DVC	UBC_VP	UBC_AVP	UBC_FAC	UBC_DEPT	UBC_SUBDEPT	UBC_SUBLOC	UBC_SUBUNIT	UBC_TREE_NODE_DESC	UBC_ROLL_UP_DESCR	UBC_PRES_DESCR	UBC_CAMPUS_DESCR	UBC_DVC_DESCR	UBC_VP_DESCR	UBC_AVP_DESCR	UBC_FAC_DESCR	UBC_DEPT_DESCR	UBC_SUBDEPT_DESCR	UBC_SUBLOC_DESCR	UBC_SUBUNIT_DESCR",,,,,,,,,,,,,,,,,,,,,,,,,,
UBC01,AGRO,1,1/1/2014 0:00,AGSF,PROF,VCVR,PROF,VPAC,VPAC,AGSF,AGRO,AGRO,AGRO,AGRO,Agroecology,Faculty of Land & Food Systems,Office of the President,UBC - Vancouver,Office of the President,VP Academic & Provost,VP Academic & Provost,Faculty of Land & Food Systems,Agroecology,Agroecology,Agroecology,Agroecology
UBC01,AGSF,1,1/1/2014 0:00,AGSF,PROF,VCVR,PROF,VPAC,VPAC,AGSF,AGSF,AGSF,AGSF,AGSF,Faculty of Land & Food Systems,Faculty of Land & Food Systems,Office of the President,UBC - Vancouver,Office of the President,VP Academic & Provost,VP Academic & Provost,Faculty of Land & Food Systems,Faculty of Land & Food Systems,Faculty of Land & Food Systems,Faculty of Land & Food Systems,Faculty of Land & Food Systems
UBC01,AGSZ,1,1/1/2014 0:00,AGSF,PROF,VCVR,PROF,VPAC,VPAC,AGSF,AGSZ,AGSZ,AGSZ,AGSZ,Agassiz Dairy Educ Rsch Ctr,Faculty of Land & Food Systems,Office of the President,UBC - Vancouver,Office of the President,VP Academic & Provost,VP Academic & Provost,Faculty of Land & Food Systems,Agassiz Dairy Educ Rsch Ctr,Agassiz Dairy Educ Rsch Ctr,Agassiz Dairy Educ Rsch Ctr,Agassiz Dairy Educ Rsch Ctr
UBC01,AHVA,1,1/1/2014 0:00,ARTF,PROF,VCVR,PROF,VPAC,VPAC,ARTF,AHVA,AHVA,AHVA,AHVA,"ArtHistory,Visual Art & Theory",Faculty of Arts,Office of the President,UBC - Vancouver,Office of the President,VP Academic & Provost,VP Academic & Provost,Faculty of Arts,"ArtHistory,Visual Art & Theory","ArtHistory,Visual Art & Theory","ArtHistory,Visual Art & Theory","ArtHistory,Visual Art & Theory"
UBC01,AIDS,1,1/1/2014 0:00,MEDF,PROF,VCVR,PROF,VPAC,VPAC,MEDF,MEDI,AIDS,AIDS,AIDS,Division of AIDS,Faculty of Medicine,Office of the President,UBC - Vancouver,Office of the President,VP Academic & Provost,VP Academic & Provost,Faculty of Medicine,Medicine Department,Division of AIDS,Division of AIDS,Division of AIDS
UBC01,ALLE,1,1/1/2014 0:00,MEDF,PROF,VCVR,PROF,VPAC,VPAC,MEDF,MEDI,ALLE,ALLE,ALLE,Allergy and Immunology Unit,Faculty of Medicine,Office of the President,UBC - Vancouver,Office of the President,VP Academic & Provost,VP Academic & Provost,Faculty of Medicine,Medicine Department,Allergy and Immunology Unit,Allergy and Immunology Unit,Allergy and Immunology Unit
UBC01,ALMA,1,1/1/2014 0:00,VPSS,PROF,VCVR,PROF,VPSS,VPSS,VPSS,ALMA,ALMA,ALMA,ALMA,Alma Mater Society,VP Students,Office of the President,UBC - Vancouver,Office of the President,VP Students,VP Students,VP Students,Alma Mater Society,Alma Mater Society,Alma Mater Society,Alma Mater Society
UBC01,ALRL,1,1/1/2014 0:00,VPDC,PROF,VCVR,PROF,VPDC,AVAL,AVAL,AVAL,ALRL,ALRL,ALRL,Alumni UBC,VP Developmt & Alumni Engagemt,Office of the President,UBC - Vancouver,Office of the President,VP Developmt & Alumni Engagemt,Associate VP Alumni Affairs,Associate VP Alumni Affairs,Associate VP Alumni Affairs,Alumni UBC,Alumni UBC,Alumni UBC
UBC01,ALUM,1,1/1/2014 0:00,VPDC,PROF,VCVR,PROF,VPDC,VPDC,VPDC,ADVN,ALUM,ALUM,ALUM,Alumni Association,VP Developmt & Alumni Engagemt,Office of the President,UBC - Vancouver,Office of the President,VP Developmt & Alumni Engagemt,VP Developmt & Alumni Engagemt,VP Developmt & Alumni Engagemt,DAE Services,Alumni Association,Alumni Association,Alumni Association
UBC01,AMPL,1,1/1/2014 0:00,APSF,PROF,VCVR,PROF,VPAC,VPAC,APSF,AMPL,AMPL,AMPL,AMPL,Adv.Materials & Proc.Eng Lab,Faculty of Applied Science,Office of the President,UBC - Vancouver,Office of the President,VP Academic & Provost,VP Academic & Provost,Faculty of Applied Science,Adv.Materials & Proc.Eng Lab,Adv.Materials & Proc.Eng Lab,Adv.Materials & Proc.Eng Lab,Adv.Materials & Proc.Eng Lab
UBC01,ANAE,1,1/1/2014 0:00,MEDF,PROF,VCVR,PROF,VPAC,VPAC,MEDF,ANAE,ANAE,ANAE,ANAE,"Anesthesia,Pharmclgy&Thraputcs",Faculty of Medicine,Office of the President,UBC - Vancouver,Office of the President,VP Academic & Provost,VP Academic & Provost,Faculty of Medicine,"Anesthesia,Pharmclgy&Thraputcs","Anesthesia,Pharmclgy&Thraputcs","Anesthesia,Pharmclgy&Thraputcs","Anesthesia,Pharmclgy&Thraputcs"
UBC01,ANAT,1,1/1/2014 0:00,MEDF,PROF,VCVR,PROF,VPAC,VPAC,MEDF,CAPS,ANAT,ANAT,ANAT,Anatomy,Faculty of Medicine,Office of the President,UBC - Vancouver,Office of the President,VP Academic & Provost,VP Academic & Provost,Faculty of Medicine,Cellular&PhysiologicalSciences,Anatomy,Anatomy,Anatomy
UBC01,ANCA,1,1/1/2014 0:00,VPRE,PROF,VCVR,PROF,VPRE,VPRE,VPRE,ANCA,ANCA,ANCA,ANCA,Animal Care Services,VP Research & International,Office of the President,UBC - Vancouver,Office of the President,VP Research & International,VP Research & International,VP Research & International,Animal Care Services,Animal Care Services,Animal Care Services,Animal Care Services
UBC01,ANLB,1,1/1/2014 0:00,MEDF,PROF,VCVR,PROF,VPAC,VPAC,MEDF,ANLB,ANLB,ANLB,ANLB,Animal Laboratory,Faculty of Medicine,Office of the President,UBC - Vancouver,Office of the President,VP Academic & Provost,VP Academic & Provost,Faculty of Medicine,Animal Laboratory,Animal Laboratory,Animal Laboratory,Animal Laboratory
UBC01,ANSC,1,1/1/2014 0:00,AGSF,PROF,VCVR,PROF,VPAC,VPAC,AGSF,ANSC,ANSC,ANSC,ANSC,(i)Animal Science,Faculty of Land & Food Systems,Office of the President,UBC - Vancouver,Office of the President,VP Academic & Provost,VP Academic & Provost,Faculty of Land & Food Systems,(i)Animal Science,(i)Animal Science,(i)Animal Science,(i)Animal Science
